dateAdded,dateUpdated,brand,categories,primaryCategories,colors,ean / upc,name,prices.amountMax,prices.amountMin,prices.availability,prices.dateSeen,prices.offer,prices.size,sizes
2019-04-25T09:02:25Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,6.5,6.5
2019-04-25T09:02:24Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,10.5,10.5
2019-04-25T09:02:25Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,9.5,9.5
2019-04-25T09:02:24Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,10.5,10.5
2019-04-25T09:02:24Z,2019-04-25T09:02:47Z,Therafit,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,White Leather,818000000000.00,Women's Therafit Melody Comfort Sandal,149.95,149.95,TRUE,2019-05-01T08:17:11Z,Online only,8,8
2019-04-25T09:02:25Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,4.5,4.5
2019-04-25T09:02:24Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,7,7
2019-04-25T09:02:25Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,7.5,7.5
2019-04-25T09:02:25Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,9,9
2019-04-25T09:02:25Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,5.5,5.5
2019-04-25T09:02:25Z,2019-04-25T09:02:47Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,5.5,5.5
2019-04-25T09:02:24Z,2019-04-25T09:02:46Z,Timberland PRO,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Black,887000000000.00,Women's Timberland PRO Renova Professional Slip-On,109.95,109.95,TRUE,"2019-04-29T22:40:00.000Z,2019-04-29T22:38:00.000Z",Online only,9.5,9.5
2019-04-25T09:02:23Z,2019-04-25T09:02:46Z,Timberland PRO,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Black,887000000000.00,Women's Timberland PRO Renova Professional Slip-On,109.95,109.95,TRUE,"2019-04-29T22:40:00.000Z,2019-04-29T22:38:00.000Z",Online only,11,11
2019-04-25T09:02:23Z,2019-04-25T09:02:46Z,Timberland PRO,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Black,887000000000.00,Women's Timberland PRO Renova Professional Slip-On,109.95,109.95,TRUE,"2019-04-29T22:40:00.000Z,2019-04-29T22:38:00.000Z",Online only,9,9
2019-04-25T09:02:24Z,2019-04-25T09:02:46Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,6.5,6.5
2019-04-25T09:02:23Z,2019-04-25T09:02:46Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,10.5,10.5
2019-04-25T09:02:23Z,2019-04-25T09:02:46Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,5,5
2019-04-25T09:02:23Z,2019-04-25T09:02:46Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,7,7
2019-04-25T09:02:46Z,2019-04-25T09:02:46Z,Dr. Comfort,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,9,9
2019-04-25T09:02:23Z,2019-04-25T09:02:46Z,Demonia,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black Vegan Leather/Black Hologram,885000000000.00,Women's Torment 216 Lace-Up Bootie,73.95,73.95,TRUE,2019-04-27T16:55:00.000Z,Online only,7,7
2019-04-25T09:02:23Z,2019-04-25T09:02:46Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,7.5,7.5
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,5,5
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,10,10
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,11,11
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,8,8
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,9.5,9.5
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,6.5,6.5
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,8.5,8.5
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Timberland PRO,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Black,887000000000.00,Women's Timberland PRO Renova Professional Slip-On,109.95,109.95,TRUE,"2019-04-29T22:40:00.000Z,2019-04-29T22:38:00.000Z",Online only,6,6
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,10,10
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,5,5
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,11,11
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Berry,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,11,11
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,10.5,10.5
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Green,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,11,11
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Therafit,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Shoes,Black Leather,818000000000.00,Women's Therafit Melody Comfort Sandal,149.95,149.95,TRUE,2019-05-01T08:17:11Z,Online only,11,11
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,9,9
2019-04-25T09:02:45Z,2019-04-25T09:02:45Z,Timberland PRO,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Black,887000000000.00,Women's Timberland PRO Renova Professional Slip-On,109.95,109.95,TRUE,"2019-04-29T22:40:00.000Z,2019-04-29T22:38:00.000Z",Online only,7,7
2019-04-25T09:02:23Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,10.5,10.5
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,888913000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,12,12
2019-04-25T09:02:22Z,2019-04-25T09:02:45Z,Dr. Comfort,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Shoes,Blue,889000000000.00,Dr. Comfort Refresh Women's Athletic Shoe: 4 Medium (A/B) Blue Elastic Standard Laces,139,139,TRUE,2019-04-24T04:28:00.000Z,Online only,7.5,7.5
